PAIR_ID,ANTS,antsRegistration,ANTSAffineOnly,antsRegistrationAffineOnly,ANTSWithOtherAffine
1000_3x1001_3,0.704695,0.70832,0.472403,0.461942,0.687219
1000_3x1002_3,0.708538,0.702139,0.49754,0.501218,0.687736
1000_3x1006_3,0.693995,0.719517,0.416201,0.448216,0.716171
1000_3x1007_3,0.678604,0.692137,0.424873,0.417328,0.673623
1000_3x1008_3,0.710299,0.726668,0.527408,0.508958,0.716972
1000_3x1009_3,0.713254,0.727383,0.550733,0.550511,0.711331
1000_3x1010_3,0.701244,0.707298,0.447828,0.447872,0.698682
1000_3x1011_3,0.705776,0.724076,0.533952,0.539102,0.712959
1000_3x1012_3,0.734108,0.729162,0.508045,0.493053,0.730024
1000_3x1013_3,0.713218,0.722217,0.519549,0.524966,0.711558
1000_3x1014_3,0.697339,0.711949,0.487805,0.491073,0.696748
1000_3x1015_3,0.691016,0.679308,0.462243,0.40315,0.643317
1000_3x1017_3,0.708486,0.723216,0.47399,0.495255,0.716107
1000_3x1036_3,0.699799,0.680185,0.485847,0.493441,0.677792
1001_3x1000_3,0.700022,0.711003,0.462238,0.446427,0.701488
1001_3x1002_3,0.683939,0.696932,0.476582,0.492115,0.687091
1001_3x1006_3,0.681514,0.708679,0.535027,0.529757,0.684981
1001_3x1007_3,0.710911,0.713341,0.521699,0.532077,0.71136
1001_3x1008_3,0.706403,0.703452,0.526832,0.53495,0.699939
1001_3x1009_3,0.702244,0.716124,0.497443,0.510947,0.705203
1001_3x1010_3,0.724025,0.725567,0.573258,0.576017,0.723097
1001_3x1011_3,0.710809,0.712528,0.523729,0.542003,0.711433
1001_3x1012_3,0.693907,0.679443,0.420527,0.352154,0.666443
1001_3x1013_3,0.694081,0.719534,0.481418,0.496849,0.696799
1001_3x1014_3,0.691533,0.71399,0.47043,0.493802,0.701794
1001_3x1015_3,0.692361,0.700366,0.515147,0.507666,0.680526
1001_3x1017_3,0.717348,0.721986,0.515892,0.507962,0.71712
1001_3x1036_3,0.68217,0.687609,0.449941,0.469226,0.685193
1002_3x1000_3,0.709048,0.675028,0.493226,0.495059,0.710705
1002_3x1001_3,0.687221,0.657552,0.482467,0.481376,0.6904
1002_3x1006_3,0.660301,0.6529,0.452362,0.506798,0.685754
1002_3x1007_3,0.661294,0.610821,0.429046,0.418871,0.659427
1002_3x1008_3,0.685586,0.670011,0.534472,0.541201,0.691991
1002_3x1009_3,0.693791,0.671271,0.53292,0.479467,0.690634
1002_3x1010_3,0.694311,0.665801,0.516487,0.510248,0.697704
1002_3x1011_3,0.691911,0.666784,0.510071,0.509815,0.69109
1002_3x1012_3,0.693778,0.667571,0.475145,0.500173,0.698494
1002_3x1013_3,0.702751,0.670927,0.56163,0.510521,0.702365
1002_3x1014_3,0.680727,0.651601,0.505077,0.528968,0.69222
1002_3x1015_3,0.693244,0.656391,0.488086,0.495303,0.692418
1002_3x1017_3,0.701965,0.677436,0.556041,0.561837,0.703973
1002_3x1036_3,0.66456,0.649132,0.402995,0.411796,0.675933
1006_3x1000_3,0.713411,0.726661,0.393001,0.479552,0.715551
1006_3x1001_3,0.6932,0.713025,0.527512,0.521841,0.699897
1006_3x1002_3,0.6651,0.693614,0.461452,0.506021,0.684505
1006_3x1007_3,0.704334,0.716294,0.505163,0.499554,0.708224
1006_3x1008_3,0.722775,0.724006,0.540462,0.545866,0.717134
1006_3x1009_3,0.710515,0.712023,0.489087,0.491217,0.71164
1006_3x1010_3,0.710211,0.712718,0.509633,0.502057,0.713808
1006_3x1011_3,0.718341,0.72038,0.506922,0.530833,0.710853
1006_3x1012_3,0.716129,0.725593,0.416115,0.443265,0.720099
1006_3x1013_3,0.720966,0.730969,0.492262,0.525698,0.72871
1006_3x1014_3,0.699657,0.701541,0.457163,0.483093,0.704499
1006_3x1015_3,0.70343,0.707542,0.543753,0.528607,0.698992
1006_3x1017_3,0.705172,0.719032,0.513581,0.534527,0.716983
1006_3x1036_3,0.704816,0.704044,0.491573,0.458493,0.686091
1007_3x1000_3,0.678084,0.711161,0.444082,0.479532,0.700051
1007_3x1001_3,0.709951,0.718308,0.51337,0.535903,0.709851
1007_3x1002_3,0.626836,0.692493,0.395552,0.501447,0.680509
1007_3x1006_3,0.691233,0.706154,0.501509,0.480897,0.689981
1007_3x1008_3,0.712323,0.732976,0.543111,0.543908,0.712864
1007_3x1009_3,0.693709,0.71326,0.523098,0.540992,0.696721
1007_3x1010_3,0.708708,0.729031,0.54402,0.553045,0.71649
1007_3x1011_3,0.703897,0.709257,0.520256,0.519802,0.701896
1007_3x1012_3,0.692592,0.731195,0.460902,0.484633,0.710436
1007_3x1013_3,0.676336,0.704936,0.495695,0.491372,0.681733
1007_3x1014_3,0.67129,0.70597,0.446418,0.497925,0.680543
1007_3x1015_3,0.710686,0.717727,0.538344,0.555855,0.714101
1007_3x1017_3,0.688694,0.706816,0.476459,0.490019,0.69526
1007_3x1036_3,0.690253,0.702884,0.495233,0.491014,0.691727
1008_3x1000_3,0.708797,0.716199,0.498978,0.520784,0.707699
1008_3x1001_3,0.69549,0.712973,0.534179,0.53108,0.693368
1008_3x1002_3,0.680787,0.684083,0.506927,0.542217,0.688723
1008_3x1006_3,0.715148,0.71822,0.527583,0.536539,0.705496
1008_3x1007_3,0.718176,0.724062,0.548512,0.510712,0.709532
1008_3x1009_3,0.695333,0.709731,0.538419,0.537315,0.693728
1008_3x1010_3,0.700836,0.706602,0.548099,0.546716,0.702731
1008_3x1011_3,0.705912,0.712474,0.560052,0.565709,0.705902
1008_3x1012_3,0.715625,0.728221,0.522076,0.551387,0.717849
1008_3x1013_3,0.710349,0.724045,0.543615,0.544189,0.708945
1008_3x1014_3,0.697091,0.707246,0.52652,0.534231,0.69341
1008_3x1015_3,0.666599,0.709012,0.508737,0.52888,0.683217
1008_3x1017_3,0.723567,0.718605,0.53105,0.539931,0.725426
1008_3x1036_3,0.712495,0.713634,0.526318,0.532873,0.715637
1009_3x1000_3,0.720077,0.729095,0.555494,0.557312,0.723999
1009_3x1001_3,0.706698,0.721621,0.497147,0.515771,0.707987
1009_3x1002_3,0.698184,0.702898,0.497963,0.534346,0.701713
1009_3x1006_3,0.71678,0.71536,0.492591,0.471451,0.715371
1009_3x1007_3,0.697809,0.717679,0.49614,0.528729,0.706573
1009_3x1008_3,0.700903,0.712548,0.536758,0.53731,0.703577
1009_3x1010_3,0.729486,0.72846,0.538824,0.541585,0.722556
1009_3x1011_3,0.719791,0.725308,0.559149,0.557552,0.719388
1009_3x1012_3,0.719988,0.723999,0.525274,0.535169,0.720674
